president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Joseph R. Biden Jr.,All polls,10/20/2021,1/23/2021,1/25/2021,Morning Consult,B,15000,a,0.18823914,0,53,30,51.531477,33.191212,,T,https://morningconsult.com/form/global-leader-approval/,74275,139495,1/28/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/22/2021,1/25/2021,Morning Consult,B,2200,a,0.08282522,0,56,32,54.531477,35.191212,,,https://assets.morningconsult.com/wp-uploads/2021/02/12185419/210184_crosstabs_MC_ENERGY_Adults_v1-1.pdf,74376,139763,2/15/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/22/2021,1/25/2021,Morning Consult,B,1990,rv,0.07491918,0,59,32,57.531477,35.191212,,,https://assets.morningconsult.com/wp-uploads/2021/01/27081057/210182_crosstabs_POLITICO_RVs_v1_AUTO.pdf,74264,139461,1/27/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/24/2021,1/26/2021,YouGov,B+,1500,a,1.077634,0,51,33,52.352119,33.463244,,,https://docs.cdn.yougov.com/ld46rgtdlz/econTabReport.pdf,74262,139434,1/27/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/24/2021,1/26/2021,Morning Consult,B,15000,a,0.18001159,0,53,30,51.531477,33.191212,,T,https://morningconsult.com/form/global-leader-approval/,74276,139496,1/28/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/24/2021,1/26/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.25591397,0,48,48,50.386041,41.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74261,139433,1/27/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/25/2021,1/27/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.24753628,0,49,48,51.386041,41.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74268,139483,1/28/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/25/2021,1/27/2021,Morning Consult,B,15000,a,0.17323649,0,54,31,52.531477,34.191212,,T,https://morningconsult.com/form/global-leader-approval/,74277,139497,1/28/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/25/2021,1/26/2021,Morning Consult,B,2200,a,0.07622406,0,58,32,56.531477,35.191212,,,https://assets.morningconsult.com/wp-uploads/2021/02/04174538/210179_crosstabs_MC_SPORTS_PRESUPER_BOWL_Adults_v3.pdf,74346,139653,2/5/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/24/2021,1/27/2021,Marist College,A,1313,a,2.1893262,0,49,35,50.006976,34.776955,,,http://maristpoll.marist.edu/wp-content/uploads/2021/02/Marist-Poll_USA-NOS-and-Tables_202101281213-1.pdf#page=3,74320,139558,2/1/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/21/2021,2/2/2021,Gallup,B+,906,a,1.3147066,0,57,37,56.551087,36.153357,,,https://news.gallup.com/poll/329348/biden-begins-term-job-approval.aspx,74344,139651,2/4/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/26/2021,1/28/2021,Morning Consult,B,9211.5,a,0.10327276,0,55,31.5,53.531477,34.691212,*,T,https://int.nyt.com/data/documenttools/ben-smith-poll/967c3e3a09403867/full.pdf,74292,139518,2/1/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/26/2021,1/28/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.240225,0,50,45,52.386041,38.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74290,139515,1/29/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/27/2021,1/28/2021,Morning Consult,B,2200,a,0.07197111,0,56,33,54.531477,36.191212,,,https://assets.morningconsult.com/wp-uploads/2021/02/12185159/210193_crosstabs_MC_ENERGY_Adults_v2.pdf,74378,139765,2/15/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/27/2021,1/29/2021,Morning Consult,B,15000,a,0.1635707,0,54,32,52.531477,35.191212,,T,https://morningconsult.com/form/global-leader-approval/,74339,139644,2/4/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/27/2021,1/29/2021,IBD/TIPP,A+,1261,a,2.3554725,0,53,29,53.336322,33.291305,,,https://www.investors.com/politics/joe-biden-job-approval-enjoys-honeymoon-vs-donald-trump-ibd-tipp-poll/,74321,139560,2/1/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/28/2021,1/30/2021,RMG Research,B-,1200,rv,0.73682805,0,58,35,56.908774,36.057971,,,https://scottrasmussen.com/biden-job-approval-60/,74355,139680,2/9/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/27/2021,1/31/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.13780096,0,49,46,51.386041,39.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74293,139520,2/1/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/28/2021,1/30/2021,Morning Consult,B,6466.67,a,0.06920226,0,55.333333,33,53.86481,36.191212,*,T,https://assets.morningconsult.com/wp-uploads/2021/02/01222231/2101102_crosstabs_MC_TECH_QANON_Adults_v1.pdf,74323,139563,2/2/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/29/2021,1/29/2021,John Zogby Strategies/EMI Research Solutions,B/C,841,lv,1.1150749,0,56.1,36.4,54.522491,36.99937,,,https://johnzogbystrategies.com/wp-content/uploads/2021/02/Crosstabs-Voters-012921.pdf,74326,139569,2/2/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/28/2021,1/29/2021,HarrisX,B+,945,rv,0.89467309,0,61,39,56.662909,40.025437,,,https://thehill.com/hilltv/what-americas-thinking/536809-poll-biden-approval-dips-to-61-percent,74322,139562,2/1/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/27/2021,2/1/2021,Global Strategy Group/GBAO (Navigator Research),B/C,1005,rv,0.91595682,0,53,39,52.434811,38.086356,,,https://navigatorresearch.org/wp-content/uploads/2021/02/Navigator-Topline-02.02.21.pdf,74324,139564,2/2/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/28/2021,2/1/2021,AP-NORC,,1055,a,1.4270642,0,61,38,57.39118,38.292755,,,https://apnorc.org/wp-content/uploads/2021/02/Biden-topline.pdf,74336,139629,2/4/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/29/2021,1/31/2021,Morning Consult,B,15000,a,0.15754725,0,54,33,52.531477,36.191212,,T,https://morningconsult.com/form/global-leader-approval/,74340,139646,2/4/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/28/2021,2/1/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.40436588,0,51,45,53.386041,38.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74325,139568,2/2/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/28/2021,2/1/2021,Quinnipiac University,A-,1075,a,1.5324899,0,49,36,51.71562,35.452973,,,https://poll.qu.edu/poll-release?releaseid=3766,74334,139617,2/3/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/29/2021,2/1/2021,Morning Consult,B,2200,a,0.06837024,0,57,33,55.531477,36.191212,,,https://assets.morningconsult.com/wp-uploads/2021/02/03174029/2101105_crosstabs_MC_FINANCE_Adults_v1.pdf,74375,139762,2/15/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/29/2021,2/1/2021,Morning Consult,B,1986,rv,0.06171968,0,58,35,56.531477,38.191212,,,https://assets.morningconsult.com/wp-uploads/2021/02/03074817/2101110_crosstabs_POLITICO_RVs_v1.pdf,74330,139576,2/3/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/30/2021,2/1/2021,Morning Consult,B,15000,a,0.15538692,0,54,33,52.531477,36.191212,,T,https://morningconsult.com/form/global-leader-approval/,74331,139647,2/4/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/31/2021,2/2/2021,Morning Consult,B,15000,a,0.15461946,0,54,33,52.531477,36.191212,,T,https://morningconsult.com/form/global-leader-approval/,74341,139648,2/4/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/31/2021,2/2/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.21940877,0,51,47,53.386041,40.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74333,139595,2/3/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,1/31/2021,2/2/2021,YouGov,B+,1500,a,0.9211317,0,46,38,47.352119,38.463244,,,https://docs.cdn.yougov.com/460mactkmh/econTabReport.pdf,74332,139593,2/3/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/1/2021,2/3/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.21793511,0,52,46,54.386041,39.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74338,139642,2/4/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/1/2021,2/3/2021,Morning Consult,B,15000,a,0.15385798,0,54,33,52.531477,36.191212,,T,https://morningconsult.com/form/global-leader-approval/,74366,139733,2/11/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/2/2021,2/3/2021,Ipsos,B-,1005,a,0.80586255,0,57,34,55.814057,34.961727,,,https://www.ipsos.com/sites/default/files/ct/news/documents/2021-02/2021_reuters_tracking_-_core_political_presidential_approval_tracker_02_04_2021_0.pdf,74345,139652,2/4/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/2/2021,2/3/2021,Emerson College,A-,1429,a,2.0759934,0,49,39,50.01702,39.033413,,,https://emersonpolling.reportablenews.com/pr/february-national-poll-america-giving-biden-a-chance-split-on-trump-impeachment,74348,139668,2/5/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/2/2021,2/4/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.21648187,0,49,48,51.386041,41.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74347,139654,2/5/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/2/2021,2/4/2021,Morning Consult,B,15000,a,0.15330618,0,54,34,52.531477,37.191212,,T,https://morningconsult.com/form/global-leader-approval/,74367,139734,2/11/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/3/2021,2/5/2021,Morning Consult,B,15000,a,0.1522979,0,54,34,52.531477,37.191212,,T,https://morningconsult.com/form/global-leader-approval/,74368,139735,2/11/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/4/2021,2/6/2021,RMG Research,B-,1200,rv,0.69621914,0,60,32,58.908774,33.057971,,,https://scottrasmussen.com/biden-job-approval-60/,74354,139679,2/9/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/4/2021,2/6/2021,Morning Consult,B,15000,a,0.15071373,0,54,34,52.531477,37.191212,,T,https://morningconsult.com/form/global-leader-approval/,74369,139736,2/11/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/3/2021,2/7/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.1281564,0,50,47,52.386041,40.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74349,139669,2/8/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/5/2021,2/7/2021,Morning Consult,B,1986,rv,0.05930054,0,59,35,57.531477,38.191212,,,https://assets.morningconsult.com/wp-uploads/2021/02/11080445/210227_crosstabs_POLITICO_RVs_v1_AUTO.pdf,74351,139673,2/8/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/4/2021,2/8/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.38029845,0,51,46,53.386041,39.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74352,139675,2/9/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/5/2021,2/7/2021,Morning Consult,B,15000,a,0.14929642,0,55,33,53.531477,36.191212,,T,https://morningconsult.com/form/global-leader-approval/,74372,139746,2/11/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/5/2021,2/8/2021,YouGov,B+,2508,a,1.3288424,0,61,39,62.352119,39.463244,,,https://www.cbsnews.com/news/covid-relief-opinion-poll/,74357,139683,2/9/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/6/2021,2/8/2021,Morning Consult,B,15000,a,0.14832769,0,55,33,53.531477,36.191212,,T,https://morningconsult.com/form/global-leader-approval/,74370,139738,2/11/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/7/2021,2/9/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.20929771,0,51,47,53.386041,40.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74359,139696,2/10/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/7/2021,2/9/2021,Morning Consult,B,15000,a,0.14761688,0,55,33,53.531477,36.191212,,T,https://morningconsult.com/form/global-leader-approval/,74371,139739,2/11/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/6/2021,2/9/2021,YouGov,B+,1500,a,0.79866219,0,50,37,51.352119,37.463244,,,https://docs.cdn.yougov.com/rqqxdo2ujy/econTabReport.pdf,74360,139697,2/10/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/8/2021,2/10/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.20928828,0,50,47,52.386041,40.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74362,139720,2/11/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/8/2021,2/10/2021,Morning Consult,B,15000,a,0.14684007,0,55,33,53.531477,36.191212,,T,https://morningconsult.com/form/global-leader-approval/,74389,139832,2/18/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/8/2021,2/9/2021,HarrisX,B+,938,rv,0.61458253,0,60,40,55.662909,41.025437,,,https://thehill.com/hilltv/what-americas-thinking/538612-what-americas-thinking-february-12-2021,74374,139761,2/12/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/9/2021,2/11/2021,Morning Consult,B,15000,a,0.14631607,0,55,33,53.531477,36.191212,,T,https://morningconsult.com/form/global-leader-approval/,74390,139833,2/18/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/9/2021,2/11/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.20920552,0,52,45,54.386041,38.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74373,139760,2/12/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/9/2021,2/10/2021,Ipsos,B-,1001,a,0.73235578,0,57,35,55.814057,35.961727,,,https://www.ipsos.com/en-us/reutersipsos-core-political-survey-presidential-approval-tracker-02102021,74361,139719,2/10/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/7/2021,2/14/2021,Saint Leo University,C/D,1000,a,0.80855287,0,60.9,32.3,58.962715,34.118645,,,https://polls.saintleo.edu/new-saint-leo-polling-survey-shows-six-out-of-10-americans-like-bidens-job-performance-so-far/,74408,139905,2/24/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/3/2021,2/18/2021,Gallup,B+,1021,a,1.4180286,0,56,40,55.551087,39.153357,,,https://news.gallup.com/poll/329948/biden-gets-high-marks-covid-response.aspx,74402,139858,2/22/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/10/2021,2/12/2021,Morning Consult,B,15000,a,0.14566851,0,55,33,53.531477,36.191212,,T,https://morningconsult.com/form/global-leader-approval/,74391,139834,2/18/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/10/2021,2/14/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.12516127,0,53,43,55.386041,36.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74379,139766,2/15/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/11/2021,2/13/2021,Morning Consult,B,15000,a,0.1446306,0,55,34,53.531477,37.191212,,T,https://morningconsult.com/form/global-leader-approval/,74392,139835,2/18/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/11/2021,2/13/2021,RMG Research,B-,1200,rv,0.68602173,0,57,35,55.908774,36.057971,,,https://scottrasmussen.com/biden-job-approval-rating-at-56/,74411,139908,2/24/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/12/2021,2/14/2021,Morning Consult,B,15000,a,0.14371289,0,54,34,52.531477,37.191212,,T,https://morningconsult.com/form/global-leader-approval/,74393,139836,2/18/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/11/2021,2/15/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.37310398,0,53,44,55.386041,37.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74381,139772,2/16/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/11/2021,2/14/2021,Quinnipiac University,A-,1056,a,1.5112685,0,50,38,52.71562,37.452973,,,https://poll.qu.edu/poll-release?releaseid=3768,74387,139830,2/17/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/11/2021,2/15/2021,Global Strategy Group/GBAO (Navigator Research),B/C,1067,rv,0.86322248,0,56,38,55.434811,37.086356,,,https://navigatorresearch.org/wp-content/uploads/2021/02/Navigator-Toplines-02.16.2021.pdf,74383,139794,2/17/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/13/2021,2/15/2021,Morning Consult,B,15000,a,0.14287877,0,54,34,52.531477,37.191212,,T,https://morningconsult.com/form/global-leader-approval/,74394,139837,2/18/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/12/2021,2/15/2021,Morning Consult,B,3300,a,0.09429999,0,56,34.5,54.531477,37.691212,*,,https://assets.morningconsult.com/wp-uploads/2021/02/24152659/210264_crosstabs_MC_TECH_SPACE_Adults_v1_AUTO.pdf,74415,139933,2/25/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/12/2021,2/15/2021,HarrisX,B+,2835,rv,1.5241281,0,59,41,54.662909,42.025437,,,https://thehill.com/hilltv/what-americas-thinking/539464-what-americas-thinking-february-19-2021,74398,139853,2/19/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/12/2021,2/15/2021,Morning Consult,B,1987,rv,0.05678002,0,56,38,54.531477,41.191212,,,https://www.politico.com/f/?id=00000177-abaf-d644-a377-efbf5b3e0000,74384,139795,2/17/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/14/2021,2/16/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.20663741,0,50,47,52.386041,40.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74385,139810,2/17/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/13/2021,2/16/2021,YouGov,B+,1500,a,0.84436013,0,54,37,55.352119,37.463244,,,https://docs.cdn.yougov.com/3at75tb28w/econTabReport.pdf,74386,139811,2/17/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/14/2021,2/16/2021,Morning Consult,B,15000,a,0.14334112,0,54,34,52.531477,37.191212,,T,https://morningconsult.com/form/global-leader-approval/,74395,139838,2/18/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/12/2021,2/18/2021,Echelon Insights,B/C,1005,rv,1.1872816,0,51,42,50.060041,41.568244,,,https://echeloninsights.com/in-the-news/february-omnibus-political-update/,74400,139859,2/22/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/14/2021,2/15/2021,Morning Consult,B,1984,rv,0.05687776,0,62,33,60.531477,36.191212,,,https://www.politico.com/f/?id=00000177-a857-d644-a377-eedf501c0000,74380,139771,2/16/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/15/2021,2/17/2021,Morning Consult,B,15000,a,0.14439795,0,54,35,52.531477,38.191212,,T,https://morningconsult.com/form/global-leader-approval/,74417,139936,2/25/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/15/2021,2/17/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.20711441,0,50,48,52.386041,41.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74388,139831,2/18/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/16/2021,2/18/2021,Morning Consult,B,15000,a,0.14552968,0,54,35,52.531477,38.191212,,T,https://morningconsult.com/form/global-leader-approval/,74418,139937,2/25/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/16/2021,2/18/2021,Rasmussen Reports/Pulse Opinion Research,B,1500,lv,0.20735107,0,49,49,51.386041,42.73319,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,74397,139840,2/19/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/17/2021,2/18/2021,Ipsos,B-,1005,a,0.70745931,0,56,36,54.814057,36.961727,,,https://www.ipsos.com/sites/default/files/ct/news/documents/2021-02/2021_reuters_tracking_-_core_political_presidential_approval_tracker_02_18_2021.pdf,74396,139839,2/18/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/17/2021,2/19/2021,Morning Consult,B,15000,a,0.14591572,0,54,35,52.531477,38.191212,,T,https://morningconsult.com/form/global-leader-approval/,74419,139938,2/25/2021,10/20/2021 16:59
Joseph R. Biden Jr.,All polls,10/20/2021,2/17/2021,2/20/2021,American Research Group,C+,1100,a,1.0888222,0,58,34,56.317584,35.519568,,,https://americanresearchgroup.com/economy/,74401,139856,2/22/2021,10/20/2021 16:59
